# Homomorphism            | Subgraph
# chordal4 boat	chordal6  | cycle3 cycle4 cycle5 cycle6 chordal4 chordal5
12	36	12	2	3	5	12	0	0
52	364	108	6	16	31	62	4	28
24	140	24	4	23	72	128	0	36
68	504	126	8	17	36	68	5	36
52	416	102	6	19	39	62	4	45
70	514	222	7	12	28	57	7	22
116	1348	396	10	22	45	66	14	90
22	90	30	3	7	3	11	1	3
62	430	120	7	16	43	99	5	25
76	660	180	8	13	36	70	7	36
34	194	42	5	4	12	22	1	7
30	126	30	5	2	7	14	0	2
74	506	126	9	13	31	70	5	22
18	70	18	3	2	4	13	0	0
28	156	36	4	1	6	15	1	0
12	36	12	2	2	15	20	0	1
22	106	30	3	5	7	8	1	0
6	18	6	1	4	17	24	0	1
18	70	18	3	3	9	9	0	2
116	1256	384	10	19	34	54	14	66
22	90	30	3	3	8	6	1	1
32	176	48	4	5	12	23	2	2
86	770	192	9	14	29	46	8	43
22	90	30	3	4	7	14	1	1
28	120	36	4	15	33	64	1	17
116	1100	432	10	16	27	46	14	44
38	226	54	5	16	44	104	2	22
18	54	18	3	5	8	7	0	4
34	170	42	5	19	46	71	1	24
78	554	150	9	13	34	79	6	25
18	54	18	3	4	5	5	0	3
22	90	30	3	3	5	7	1	0
84	760	288	8	16	37	60	9	47
22	94	30	3	21	34	79	1	9
22	90	30	3	6	7	19	1	2
12	36	12	2	4	3	19	0	1
70	662	192	7	20	38	59	7	63
60	452	90	8	13	39	86	3	32
70	582	156	7	17	39	68	7	44
68	556	126	8	17	38	68	5	37
52	352	96	6	20	36	84	4	32
72	612	144	8	15	36	65	6	42
86	778	216	9	12	31	65	8	35
6	18	6	1	3	10	11	0	1
48	272	72	6	13	31	71	3	16
0	0	0	0	4	7	12	0	0
66	570	156	7	16	43	98	6	30
32	196	54	4	6	13	18	2	10
6	18	6	1	3	4	14	0	0
6	18	6	1	5	10	13	0	3
62	398	108	7	17	35	91	5	26
94	834	258	9	23	39	77	10	59
56	424	78	8	16	52	115	2	41
22	90	30	3	5	5	14	1	2
18	70	18	3	4	9	10	0	5
56	380	114	6	23	26	86	5	32
70	626	168	7	17	38	62	7	44
38	194	54	5	6	7	15	2	5
84	820	234	8	19	39	61	9	58
24	76	24	4	3	5	10	0	3
12	36	12	2	7	10	17	0	3
52	272	84	6	20	32	53	4	31
0	0	0	0	5	8	11	0	0
70	570	156	7	17	33	60	7	42
0	0	0	0	3	7	10	0	0
12	36	12	2	4	7	16	0	1
88	828	252	8	18	38	64	10	52
82	686	204	9	12	35	81	7	29
104	924	294	10	20	40	60	11	58
6	18	6	1	4	9	12	0	3
18	90	18	3	4	9	14	0	3
12	36	12	2	7	5	14	0	1
16	72	24	2	23	34	102	1	5
18	70	18	3	2	5	7	0	2
116	1188	486	10	24	50	117	14	69
108	984	384	10	16	38	77	12	38
36	180	60	4	13	36	77	3	6
6	18	6	1	4	10	15	0	1
62	530	120	7	19	40	61	5	52
72	540	162	8	20	33	80	6	41
58	342	102	7	12	32	70	4	18
86	702	216	9	16	37	75	8	40
110	946	288	11	16	26	66	11	34
12	36	12	2	3	10	11	0	0
22	90	30	3	5	9	10	1	1
22	90	30	3	4	5	13	1	1
6	18	6	1	4	13	19	0	1
12	36	12	2	5	3	8	0	1
28	124	36	4	6	9	14	1	8
12	52	12	2	4	10	14	0	3
18	86	18	3	3	7	16	0	1
22	90	30	3	3	9	17	1	1
88	728	174	10	13	37	85	7	33
52	316	84	6	22	31	107	4	25
6	18	6	1	4	8	7	0	2
22	90	30	3	3	8	10	1	2
16	72	24	2	34	14	96	1	18
36	180	60	4	21	36	78	3	18
62	434	126	7	14	30	85	5	17
12	36	12	2	5	12	17	0	4
62	450	120	7	14	30	55	5	31
204	2568	1308	14	21	27	26	30	84
12	40	12	2	4	9	16	0	4
64	536	156	6	21	37	61	7	50
18	54	18	3	4	2	12	0	0
124	1256	516	10	18	31	51	16	55
6	18	6	1	4	8	16	0	3
128	1280	492	10	20	33	61	17	58
62	514	120	7	17	38	60	5	49
18	86	18	3	19	34	94	0	13
84	708	264	8	15	31	58	9	35
34	142	42	5	5	11	28	1	3
92	796	210	10	17	43	101	8	44
76	672	186	8	16	40	93	7	34
12	36	12	2	6	6	7	0	3
66	574	150	7	16	38	62	6	48
46	322	90	5	20	37	58	4	41
48	292	78	6	16	42	83	3	26
18	54	18	3	3	8	17	0	3
66	522	126	7	18	36	60	6	47
12	36	12	2	5	8	13	0	2
32	172	54	4	23	28	113	2	18
106	1078	462	9	17	32	46	13	54
84	708	300	8	15	39	81	9	24
94	866	240	9	14	29	53	10	38
6	18	6	1	5	9	15	0	1
32	168	54	4	4	9	12	2	4
62	438	126	7	17	35	59	5	31
78	634	282	7	20	38	56	9	47
84	892	264	8	19	38	63	9	68
114	1258	534	9	22	42	58	15	78
66	594	156	7	15	36	65	6	41
6	18	6	1	5	7	10	0	0
76	596	168	8	13	38	88	7	26
6	18	6	1	5	4	11	0	0
38	210	60	5	18	51	104	2	23
22	90	30	3	6	9	19	1	1
54	334	78	7	16	34	78	3	24
0	0	0	0	3	8	14	0	0
64	400	120	6	29	35	127	7	39
62	438	114	7	12	29	60	5	26
68	460	132	8	15	39	94	5	29
6	18	6	1	5	10	15	0	1
66	430	132	7	20	32	94	6	21
110	1098	426	9	16	36	67	14	45
114	1210	492	9	21	38	57	15	67
18	54	18	3	2	10	9	0	2
12	36	12	2	5	5	14	0	1
16	72	24	2	7	5	8	1	0
64	452	120	8	16	38	72	4	33
78	546	150	9	12	30	72	6	21
48	332	78	6	16	37	63	3	34
42	310	78	5	19	38	59	3	40
56	400	120	6	18	26	58	5	27
6	18	6	1	9	4	11	0	1
100	772	234	10	19	38	61	10	44
132	1532	612	10	20	36	55	18	73
18	54	18	3	6	11	19	0	4
6	18	6	1	6	5	14	0	2
90	862	222	9	17	37	58	9	54
98	1022	312	9	18	36	49	11	63
70	622	180	7	16	38	54	7	45
48	384	84	6	19	39	56	3	47
18	54	18	3	5	14	12	0	4
46	286	90	5	20	34	97	4	31
76	620	168	8	13	33	61	7	33
22	90	30	3	6	9	9	1	2
64	456	108	8	14	38	80	4	31
28	108	36	4	1	4	10	1	0
30	106	30	5	4	5	12	0	3
16	72	24	2	3	8	8	1	0
64	560	168	6	25	40	63	7	64
38	262	60	5	13	40	79	2	17
6	18	6	1	8	12	12	0	4
24	72	24	4	3	4	12	0	2
48	340	72	6	18	32	60	3	39
80	604	276	8	16	38	85	8	29
48	300	84	6	6	7	15	3	6
32	144	48	4	5	7	9	2	1
12	36	12	2	4	6	12	0	1
76	708	162	8	17	39	58	7	55
56	448	114	6	17	37	56	5	44
38	162	54	5	5	4	13	2	1
94	806	300	9	15	31	57	10	38
16	72	24	2	5	9	11	1	0
98	934	378	9	14	30	54	11	42
62	466	120	7	13	34	57	5	31
22	90	30	3	3	2	8	1	0
18	54	18	3	4	6	12	0	3
38	274	60	5	16	41	57	2	36
92	812	360	8	19	31	52	11	44
22	106	30	3	3	5	13	1	0
24	76	24	4	2	9	10	0	3
110	1170	468	9	21	38	54	14	71
18	58	18	3	6	11	13	0	6
12	36	12	2	3	9	11	0	2
50	302	66	7	15	32	63	2	27
22	106	30	3	4	6	8	1	0
6	18	6	1	5	10	14	0	1
76	668	336	6	21	35	56	10	45
